"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,1,0,0,1
"2",1,1,0,0,1
"3",2,1,0,0,2
"4",3,1,0,0,2
"5",4,1,0,0,2
"6",5,1,1,0,2
"7",6,1,1,3,3
"8",7,1,1,3,3
"9",8,1,1,4,4
"10",9,1,1,4,7
"11",10,1,3,10,8
"12",11,1,3,16,9
"13",12,1,3,19,16
"14",13,1,4,38,18
"15",14,1,4,41,25
"16",15,1,4,42,33
"17",16,1,5,52,41
"18",17,1,6,63,59
"19",18,1,7,80,67
"20",19,1,9,91,83
"21",20,1,12,129,90
"22",21,1,18,146,96
"23",22,1,24,164,103
"24",23,1,30,183,105
"25",24,1,36,189,118
"26",25,1,46,202,126
"27",26,1,53,226,124
"28",27,1,58,222,127
"29",28,1,65,238,121
"30",29,1,71,245,125
"31",30,1,81,257,117
"32",31,1,80,263,103
"33",32,1,81,259,99
"34",33,1,82,261,91
"35",34,1,68,240,88
"36",35,1,67,229,83
"37",36,1,64,215,74
"38",37,1,63,201,65
"39",38,1,63,186,62
"40",39,1,60,166,54
"41",40,1,55,146,52
"42",41,1,50,138,46
"43",42,1,43,132,43
"44",43,1,42,121,39
"45",44,1,32,105,39
"46",45,1,28,100,40
"47",46,1,25,105,39
"48",47,1,21,99,39
"49",48,1,19,95,38
"50",49,1,16,94,38
"51",50,1,17,92,41
"52",51,1,22,86,39
"53",52,1,19,90,36
"54",53,1,19,90,38
"55",54,1,18,85,41
"56",55,1,18,87,46
"57",56,1,22,78,41
"58",57,1,24,82,40
"59",58,1,25,78,42
"60",59,1,27,72,42
"61",60,1,22,64,45
"62",61,1,22,62,44
"63",62,1,26,63,44
"64",63,1,25,72,43
"65",64,1,27,74,45
"66",65,1,24,76,48
"67",66,1,24,78,44
"68",67,1,25,74,41
"69",68,1,27,71,38
"70",69,1,27,71,33
"71",70,1,25,70,30
"72",71,1,23,66,26
"73",72,1,24,63,25
"74",73,1,23,62,25
"75",74,1,24,60,23
"76",75,1,23,56,16
"77",76,1,22,51,14
"78",77,1,17,44,10
"79",78,1,14,38,8
"80",79,1,10,35,8
"81",80,1,8,29,7
"82",81,1,9,26,7
"83",82,1,7,28,6
"84",83,1,7,22,5
"85",84,1,6,21,4
"86",85,1,7,19,4
"87",86,1,5,20,4
"88",87,1,5,18,3
"89",88,1,5,15,2
"90",89,1,5,15,2
"91",90,1,4,14,1
"92",91,1,4,11,1
"93",92,1,3,10,0
"94",93,1,3,9,0
"95",94,1,3,9,0
"96",95,1,3,8,0
"97",96,1,3,6,0
"98",97,1,0,5,0
