"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,1,0,0,1
"2",1,1,0,0,1
"3",2,1,0,0,2
"4",3,1,0,0,2
"5",4,1,0,0,3
"6",5,1,1,0,3
"7",6,1,1,6,3
"8",7,1,1,10,3
"9",8,1,1,12,3
"10",9,1,1,13,3
"11",10,1,2,22,3
"12",11,1,2,30,4
"13",12,1,3,41,3
"14",13,1,3,47,3
"15",14,1,3,48,3
"16",15,1,3,48,4
"17",16,1,3,48,3
"18",17,1,3,53,3
"19",18,1,4,59,2
"20",19,1,3,60,2
"21",20,1,3,56,2
"22",21,1,2,54,2
"23",22,1,2,52,3
"24",23,1,2,51,2
"25",24,1,2,41,2
"26",25,1,2,33,3
"27",26,1,1,22,3
"28",27,1,1,17,4
"29",28,1,1,16,4
"30",29,1,1,16,4
"31",30,1,1,16,7
"32",31,1,1,11,10
"33",32,1,0,5,10
"34",33,1,1,4,13
"35",34,1,1,23,20
"36",35,1,2,41,26
"37",36,1,4,61,28
"38",37,1,6,76,31
"39",38,1,7,81,34
"40",39,1,9,87,39
"41",40,1,9,99,41
"42",41,1,12,103,47
"43",42,1,15,110,51
"44",43,1,24,114,56
"45",44,1,30,114,62
"46",45,1,31,115,66
"47",46,1,34,116,65
"48",47,1,34,116,60
"49",48,1,37,96,64
"50",49,1,39,80,72
"51",50,1,43,75,73
"52",51,1,45,81,79
"53",52,1,49,91,82
"54",53,1,51,94,84
"55",54,1,54,92,87
"56",55,1,53,93,94
"57",56,1,55,94,93
"58",57,1,54,102,98
"59",58,1,56,107,97
"60",59,1,62,106,97
"61",60,1,65,108,102
"62",61,1,70,110,106
"63",62,1,75,108,108
"64",63,1,80,106,101
"65",64,1,80,92,94
"66",65,1,75,80,88
"67",66,1,69,78,88
"68",67,1,69,82,84
"69",68,1,73,80,82
"70",69,1,77,78,82
"71",70,1,73,87,81
"72",71,1,71,79,81
"73",72,1,78,76,73
"74",73,1,74,82,68
"75",74,1,73,84,65
"76",75,1,73,88,60
"77",76,1,70,96,55
"78",77,1,64,99,55
"79",78,1,61,99,49
"80",79,1,64,95,47
"81",80,1,66,87,46
"82",81,1,63,77,43
"83",82,1,58,71,42
"84",83,1,55,67,38
"85",84,1,54,64,35
"86",85,1,50,62,32
"87",86,1,41,67,28
"88",87,1,39,68,26
"89",88,1,37,67,24
"90",89,1,39,68,24
"91",90,1,36,70,19
"92",91,1,36,70,19
"93",92,1,33,77,17
"94",93,1,27,79,17
"95",94,1,24,80,17
"96",95,1,22,80,13
"97",96,1,21,79,10
"98",97,1,21,78,7
