"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,2,0,0,2
"2",1,2,0,0,2
"3",2,2,0,0,2
"4",3,2,0,0,2
"5",4,2,0,0,3
"6",5,2,0,0,4
"7",6,2,0,0,10
"8",7,2,0,5,13
"9",8,2,1,10,16
"10",9,2,1,16,21
"11",10,2,4,16,30
"12",11,2,6,28,34
"13",12,2,6,35,42
"14",13,2,9,46,44
"15",14,2,11,58,49
"16",15,2,16,65,60
"17",16,2,20,80,64
"18",17,2,24,99,70
"19",18,2,30,108,74
"20",19,2,32,119,76
"21",20,2,36,123,79
"22",21,2,38,131,83
"23",22,2,42,143,81
"24",23,2,45,150,76
"25",24,2,51,147,73
"26",25,2,54,135,72
"27",26,2,56,133,67
"28",27,2,55,131,66
"29",28,2,48,133,59
"30",29,2,48,128,54
"31",30,2,45,120,47
"32",31,2,43,104,43
"33",32,2,40,101,42
"34",33,2,37,97,39
"35",34,2,36,91,34
"36",35,2,30,84,33
"37",36,2,26,69,32
"38",37,2,21,65,29
"39",38,2,19,67,26
"40",39,2,20,63,22
"41",40,2,17,61,19
"42",41,2,16,54,20
"43",42,2,15,55,22
"44",43,2,15,51,17
"45",44,2,13,47,18
"46",45,2,14,41,15
"47",46,2,10,39,16
"48",47,2,10,37,14
"49",48,2,11,35,15
"50",49,2,10,42,15
"51",50,2,11,44,14
"52",51,2,10,38,15
"53",52,2,10,32,14
"54",53,2,11,34,14
"55",54,2,12,36,14
"56",55,2,10,35,12
"57",56,2,10,26,14
"58",57,2,9,24,14
"59",58,2,9,24,14
"60",59,2,9,29,11
"61",60,2,8,30,11
"62",61,2,9,32,12
"63",62,2,10,37,15
"64",63,2,9,36,15
"65",64,2,7,36,18
"66",65,2,9,46,19
"67",66,2,10,48,19
"68",67,2,7,50,18
"69",68,2,10,43,17
"70",69,2,10,47,16
"71",70,2,11,50,18
"72",71,2,12,52,15
"73",72,2,12,53,14
"74",73,2,11,50,11
"75",74,2,12,46,12
"76",75,2,10,41,10
"77",76,2,9,36,8
"78",77,2,6,33,6
"79",78,2,6,29,6
"80",79,2,5,20,5
"81",80,2,5,22,4
"82",81,2,3,20,5
"83",82,2,3,20,5
"84",83,2,3,17,4
"85",84,2,3,14,4
"86",85,2,3,11,3
"87",86,2,2,9,4
"88",87,2,2,8,6
"89",88,2,2,8,5
"90",89,2,3,8,7
"91",90,2,3,11,7
"92",91,2,3,11,7
"93",92,2,4,11,7
"94",93,2,3,11,6
"95",94,2,2,7,6
"96",95,2,2,7,8
"97",96,2,4,9,8
"98",97,2,4,10,9
"99",98,2,7,10,9
"100",99,2,7,11,9
"101",100,2,7,12,9
"102",101,2,8,11,9
"103",102,2,8,11,6
"104",103,2,7,11,8
"105",104,2,6,14,7
"106",105,2,8,12,7
"107",106,2,7,12,7
"108",107,2,7,14,8
"109",108,2,7,14,10
"110",109,2,8,20,10
"111",110,2,8,20,8
"112",111,2,8,19,8
"113",112,2,5,21,8
"114",113,2,4,23,8
"115",114,2,4,22,7
"116",115,2,6,21,4
"117",116,2,7,22,4
"118",117,2,7,24,4
"119",118,2,6,20,3
"120",119,2,6,20,3
"121",120,2,6,20,3
"122",121,2,4,19,3
"123",122,2,4,19,0
"124",123,2,3,13,0
"125",124,2,2,9,0
"126",125,2,2,8,0
"127",126,2,1,6,0
"128",127,2,1,4,0
"129",128,2,1,4,0
"130",129,2,0,4,0
"131",130,2,0,2,0
"132",131,2,0,0,0
"133",132,2,0,0,0
"134",133,2,0,0,0
"135",134,2,0,0,0
"136",135,2,0,0,0
"137",136,2,0,0,0
"138",137,2,0,0,0
"139",138,2,0,0,0
"140",139,2,0,0,0
"141",140,2,0,0,0
"142",141,2,0,0,0
"143",142,2,0,0,0
"144",143,2,0,0,0
"145",144,2,0,0,0
"146",145,2,0,0,0
"147",146,2,0,0,0
"148",147,2,0,0,0
"149",148,2,0,0,0
"150",149,2,0,0,0
"151",150,2,0,0,0
"152",151,2,0,0,0
"153",152,2,0,0,0
"154",153,2,0,0,0
"155",154,2,0,0,0
"156",155,2,0,0,0
"157",156,2,0,0,0
"158",157,2,0,0,0
"159",158,2,0,0,0
"160",159,2,0,0,0
"161",160,2,0,0,0
"162",161,2,0,0,0
"163",162,2,0,0,0
"164",163,2,0,0,0
"165",164,2,0,0,0
"166",165,2,0,0,0
"167",166,2,0,0,0
"168",167,2,0,0,0
"169",168,2,0,0,0
"170",169,2,0,0,0
"171",170,2,0,0,0
"172",171,2,0,0,0
"173",172,2,0,0,0
"174",173,2,0,0,0
"175",174,2,0,0,0
"176",175,2,0,0,0
"177",176,2,0,0,0
"178",177,2,0,0,0
"179",178,2,0,0,0
"180",179,2,0,0,0
"181",180,2,0,0,0
"182",181,2,0,0,0
"183",182,2,0,0,0
"184",183,2,0,0,0
"185",184,2,0,0,0
"186",185,2,0,0,0
"187",186,2,0,0,0
"188",187,2,0,0,0
"189",188,2,0,0,0
"190",189,2,0,0,0
"191",190,2,0,0,0
"192",191,2,0,0,0
"193",192,2,0,0,0
"194",193,2,0,0,0
"195",194,2,0,0,0
"196",195,2,0,0,0
"197",196,2,0,0,0
"198",197,2,0,0,0
"199",198,2,0,0,0
"200",199,2,0,0,0
"201",200,2,0,0,0
"202",201,2,0,0,0
"203",202,2,0,0,0
"204",203,2,0,0,0
"205",204,2,0,0,0
"206",205,2,0,0,0
"207",206,2,0,0,0
"208",207,2,0,0,0
"209",208,2,0,0,0
"210",209,2,0,0,0
"211",210,2,0,0,0
"212",211,2,0,0,0
"213",212,2,0,0,0
"214",213,2,0,0,0
"215",214,2,0,0,0
"216",215,2,0,0,0
"217",216,2,0,0,0
"218",217,2,0,0,0
"219",218,2,0,0,0
"220",219,2,0,0,0
"221",220,2,0,0,0
"222",221,2,0,0,0
"223",222,2,0,0,0
"224",223,2,0,0,0
"225",224,2,0,0,0
"226",225,2,0,0,0
"227",226,2,0,0,0
"228",227,2,0,0,0
"229",228,2,0,0,0
"230",229,2,0,0,0
"231",230,2,0,0,0
"232",231,2,0,0,0
"233",232,2,0,0,0
"234",233,2,0,0,0
"235",234,2,0,0,0
"236",235,2,0,0,0
"237",236,2,0,0,0
"238",237,2,0,0,0
"239",238,2,0,0,0
"240",239,2,0,0,0
"241",240,2,0,0,0
"242",241,2,0,0,0
"243",242,2,0,0,0
"244",243,2,0,0,0
"245",244,2,0,0,0
"246",245,2,0,0,0
"247",246,2,0,0,0
"248",247,2,0,0,0
"249",248,2,0,0,0
"250",249,2,0,0,0
"251",250,2,0,0,0
